title,topic_group,skill_groups,skills,grade_low,grade_high,author_id,created_at,figma_link,description,extended_description
Business Model Generation,Business Model,Product,Strategic Impact Product Discovery,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=307-34117&t=aENtCOSbBGKwDMTu-4,Craft innovative business models. Develop strategic impact and product discovery skills in this essential course,"Dive into the world of business model innovation with our course, 'Business Model Generation.' Focused on the Product skill group, this program is designed to equip participants with the strategic insights and practical skills needed for success in today's dynamic marketplace. Explore topics such as Strategic Impact and Product Discovery, gaining the knowledge and tools necessary to drive innovation and create compelling product offerings. Whether you're a seasoned entrepreneur or aspiring business leader, this course will empower you to craft effective business strategies and navigate the complexities of modern business environments with confidence."
Customer Development,Business Model,Product Customer,Product Discovery Voice of Customer,2,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=307-34130&t=aENtCOSbBGKwDMTu-4,Master customer development essentials. Learn product discovery and voice of customer skills in this vital course,"Embark on a journey of ""Customer Development"" where you'll uncover the intricacies of building successful business models. Situated within the broader context of the ""Business Model"" topic group, this course places a strong emphasis on both Product and Customer skill groups. Through engaging content and practical exercises, participants will sharpen their skills in Product Discovery and master the art of capturing the ""Voice of the Customer."" By the end of the course, learners will possess the strategic acumen and actionable insights needed to drive customer-centric innovation and forge meaningful connections with their target audience, propelling their ventures to new heights of success."
Market Research,Product-Market Fit,Product,Strategic Impact Product Discovery,1,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=197-13217&t=aENtCOSbBGKwDMTu-4,Refine product-market fit. Enhance strategic impact and product discovery skills in this crucial market research course,"Delve into the realm of ""Market Research"" within the context of achieving Product-Market Fit. This course, situated in the ""Product-Market Fit"" topic group, hones in on the critical role of Product in understanding market dynamics. By focusing on the Product skill group, participants will develop proficiency in both Strategic Impact and Product Discovery. Through rigorous analysis and practical exercises, learners will gain the insights and methodologies necessary to identify market opportunities, refine product offerings, and strategically position their solutions for maximum impact. By mastering the art of market research, participants will be empowered to drive innovation and cultivate strong product-market fit, setting the stage for sustainable business growth and success."
Competitor Analysis,Product-Market Fit,Product Customer,Product Discovery Voice of Customer,1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=197-13239&t=aENtCOSbBGKwDMTu-4,Analyze competitors effectively. Develop product discovery and voice of customer skills in this pivotal course,"Embark on the journey of ""Competitor Analysis"" within the dynamic landscape of Product-Market Fit. This course, nestled in the ""Product-Market Fit"" topic group, underscores the crucial interplay between Product and Customer skill groups. Through in-depth exploration and practical application, participants will sharpen their skills in Product Discovery and master the art of capturing the ""Voice of Customer."" By understanding competitor landscapes, learners will gain strategic insights, enabling them to identify market gaps, refine product offerings, and position their solutions effectively. Armed with a comprehensive understanding of competitor dynamics, participants will be equipped to navigate market complexities and drive sustainable growth in their ventures."
Product-Market Fit Path,Product-Market Fit,Product Customer,Product Discovery Product Marketing,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=234-16057&t=aENtCOSbBGKwDMTu-4,Navigate product-market fit. Enhance product discovery and product marketing skills on this strategic path,"Embark on the ""Product-Market Fit Path"" journey, nestled within the Product-Market Fit realm. This course intricately intertwines the Product and Customer skill groups, providing a holistic understanding of aligning products with market demands. Through immersive experiences and practical exercises, participants will refine their abilities in Product Discovery and delve into the nuances of Product Marketing. By mastering these skills, learners will gain the tools to navigate the intricate pathway toward achieving optimal product-market fit. Equipped with strategic insights and actionable tactics, participants will be poised to craft compelling products, resonate with target audiences, and carve out a distinct position in competitive markets."
Minimum Viable Product Development,MVP,Product Processes,Product Discovery Backlog Management,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=235-16119&t=aENtCOSbBGKwDMTu-4,Develop MVP efficiently. Master product discovery and backlog management skills in this streamlined course,"Embark on a journey within the realm of MVP (Minimum Viable Product) development. This course, nestled under the ""MVP"" topic group, focuses on honing skills in both Product and Processes. Participants will immerse themselves in the intricacies of Product Discovery and learn effective Backlog Management techniques. Through hands-on exercises and real-world case studies, learners will grasp the essential principles of lean product development and iterative refinement. By mastering these skills, participants will be equipped to streamline their development processes, prioritize features effectively, and bring successful MVPs to market efficiently, setting the stage for scalable and sustainable product growth."
Product Maturity Levels,MVP,Processes,Product Vision & Planning,4,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=235-16098&t=aENtCOSbBGKwDMTu-4,Ascend product maturity stages. Focus on product vision & planning within this course on MVP development,"Embark on a journey through the stages of ""Product Maturity Levels"" within the realm of MVP (Minimum Viable Product). This course, situated under the ""MVP"" topic group, focuses on refining skills in Processes. Participants will delve into the intricacies of Product Vision & Planning, gaining insights into how to strategically guide products through various maturity stages. Through practical exercises and insightful discussions, learners will understand how to assess product maturity, identify areas for improvement, and implement strategies to propel products towards higher levels of maturity and market success. By mastering these skills, participants will be equipped to navigate the evolving landscape of product development with confidence and precision."
Segmentation Process,Market Segmentation,Product Customer,Strategic Impact Voice of Customer,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=136-2025&t=aENtCOSbBGKwDMTu-4,Refine segmentation strategies. Cultivate strategic impact and voice of customer skills in this market segmentation course,"Explore the intricacies of the ""Segmentation Process"" within the domain of Market Segmentation. This course, housed under the ""Market Segmentation"" topic group, emphasizes the fusion of Product and Customer skill groups. Participants will delve into Strategic Impact and hone their abilities in capturing the ""Voice of Customer."" Through practical applications and case studies, learners will understand the importance of segmentation in targeting diverse customer groups effectively. By mastering these skills, participants will gain the tools to refine product offerings, tailor marketing strategies, and enhance customer satisfaction, ultimately driving business growth and market success."
Segmentation Models,Market Segmentation,Product,Strategic Impact Product Discovery,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=136-1796&t=aENtCOSbBGKwDMTu-4,Explore segmentation models. Hone strategic impact and product discovery skills in this market segmentation course,"Embark on a comprehensive exploration of ""Segmentation Models"" within the realm of Market Segmentation. This course, situated in the ""Market Segmentation"" topic group, focuses on refining skills within the Product domain. Participants will delve into Strategic Impact and immerse themselves in the art of Product Discovery. Through practical exercises and case studies, learners will gain insights into various segmentation models and their strategic implications for product development and marketing. By mastering these skills, participants will be equipped to leverage segmentation effectively, refine product strategies, and tailor offerings to meet diverse market needs, driving sustainable business growth and market success."
OKR Process,OKRs,Product Processes,Business Goals Ownership Product Vision & Planning,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=168-5700&t=aENtCOSbBGKwDMTu-4,Master OKR implementation. Develop business goals ownership and product vision & planning skills in this comprehensive course,"Embark on a journey through the ""OKR Process"" within the realm of Objectives and Key Results (OKRs). This course, nestled in the ""OKRs"" topic group, integrates both Product and Processes skill groups. Participants will delve into Business Goals Ownership and refine their abilities in Product Vision & Planning. Through interactive modules and practical exercises, learners will grasp the essence of setting ambitious yet achievable objectives and defining key results to measure success. By mastering these skills, participants will be empowered to align teams, drive innovation, and achieve strategic objectives effectively, fostering a culture of accountability and continuous improvement within their organizations."
OKR Best Practices,OKRs,Product Analytics,Business Goals Ownership Measuring Progress KPIs,4,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=168-5713&t=aENtCOSbBGKwDMTu-4,Optimize OKR strategies. Enhance business goals ownership and progress measurement skills with analytics in this essential course,"Discover the essence of ""OKR Best Practices"" within the realm of Objectives and Key Results (OKRs). This course, situated in the ""OKRs"" topic group, seamlessly integrates Product and Analytics skill groups. Participants will delve into Business Goals Ownership while mastering the art of Measuring Progress and Key Performance Indicators (KPIs). Through practical applications and case studies, learners will glean insights into proven strategies for setting and tracking objectives effectively. By mastering these skills, participants will be equipped to drive alignment, foster accountability, and drive continuous improvement within their organizations, ultimately achieving greater success and impact through the implementation of OKR best practices."
User Research Methods,User Research,Product Customer,Product Discovery User Experience,1,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=246-18657&t=aENtCOSbBGKwDMTu-4,Master user research. Develop product discovery and user experience skills in this comprehensive course on effective research methods,"Embark on an enlightening exploration of ""User Research Methods"" within the domain of User Research. This course, nestled in the ""User Research"" topic group, synergizes the Product and Customer skill groups. Participants will delve into the intricacies of Product Discovery and deepen their understanding of User Experience. Through hands-on activities and case studies, learners will uncover diverse user research methodologies and their application in product development. By mastering these skills, participants will be empowered to conduct meaningful user research, gather actionable insights, and design products that resonate with user needs and preferences, ultimately enhancing user satisfaction and driving business success."
Needfinding Interviews,User Research,Customer People,Voice of Customer Communication,1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=246-18639&t=aENtCOSbBGKwDMTu-4,Refine needfinding skills. Cultivate voice of customer and communication skills in this specialized interview-focused user research course,"Embark on a transformative journey of ""Needfinding Interviews"" within the realm of User Research. This course, situated in the ""User Research"" topic group, focuses on honing skills in Customer and People domains. Participants will immerse themselves in the art of capturing the Voice of Customer while refining their communication skills. Through interactive sessions and practical exercises, learners will acquire the techniques needed to conduct insightful needfinding interviews, uncovering latent user needs and desires. By mastering these skills, participants will be equipped to communicate effectively with users, extract valuable insights, and inform product development decisions that align closely with user expectations, fostering meaningful user experiences and driving business success."
Design Processes,"Design, UX",Product Customer,Product Discovery User Experience,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=100-6433&t=aENtCOSbBGKwDMTu-4,Master design processes. Enhance product discovery and user experience skills in this UX-focused course,"Embark on an illuminating exploration of ""Design Processes"" within the realms of Design and User Experience (UX). This course, nestled in the ""Design, UX"" topic group, synergizes the Product and Customer skill groups. Participants will delve into the intricacies of Product Discovery while deepening their understanding of User Experience. Through hands-on activities and case studies, learners will uncover effective design processes and methodologies, aiming to create products that resonate with user needs and preferences. By mastering these skills, participants will be empowered to craft seamless user experiences, drive product innovation, and ultimately, enhance user satisfaction, positioning their ventures for sustained success in competitive markets."
Design Thinking,"Design, UX",Product Customer,Product Discovery Voice of Customer,1,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=101-1166&t=aENtCOSbBGKwDMTu-4,Embrace design thinking. Develop product discovery and voice of customer skills in this innovative UX course,"Embark on an inspiring journey of ""Design Thinking"" within the realm of Design and User Experience (UX). This course, nestled in the ""Design, UX"" topic group, fosters a synergy between Product and Customer skill groups. Participants will immerse themselves in the art of Product Discovery while honing their ability to capture the Voice of Customer. Through interactive workshops and real-world challenges, learners will embrace the iterative nature of design thinking, fostering empathy, creativity, and collaboration in problem-solving. Designed for beginners, this course offers a foundational understanding of design principles, empowering participants to approach challenges with a human-centered mindset and drive meaningful innovation in product development."
Interaction Design,"Design, UX",Product Customer,Product Discovery User Experience,1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=101-1179&t=aENtCOSbBGKwDMTu-4,Craft interactive experiences. Hone product discovery and user experience skills in this specialized interaction design course,"Embark on an enriching exploration of ""Interaction Design"" within the dynamic realms of Design and User Experience (UX). This course, situated in the ""Design, UX"" topic group, harmonizes the Product and Customer skill groups. Participants will delve into the intricacies of Product Discovery while deepening their understanding of User Experience. Through hands-on exercises and immersive projects, learners will uncover the principles of interaction design, aiming to create seamless and intuitive user interfaces. By mastering these skills, participants will be equipped to craft engaging digital experiences, aligning product functionality with user needs and preferences to enhance overall user satisfaction and drive business success."
Design Principles & Best Practices,"Design, UX",Customer,Voice of Customer User Experience,1,3,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=101-1192&t=aENtCOSbBGKwDMTu-4,Master design fundamentals. Cultivate voice of customer and user experience skills in this comprehensive course,"Embark on a comprehensive journey through ""Design Principles & Best Practices"" within the vibrant domain of Design and User Experience (UX). This course, nestled in the ""Design, UX"" topic group, emphasizes the Customer skill group. Participants will immerse themselves in capturing the Voice of Customer while mastering the intricacies of User Experience. Through practical applications and case studies, learners will gain insights into fundamental design principles and industry-best practices, aiming to create impactful and user-centric designs. By mastering these skills, participants will be equipped to champion user needs, craft compelling user experiences, and drive innovation in product design, ultimately fostering user satisfaction and loyalty in competitive markets."
Visual Design & Branding,"Design, UX",Product Customer,Product Discovery Product Marketing,2,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=101-1205&t=aENtCOSbBGKwDMTu-4,Elevate visual branding. Develop product discovery and product marketing skills in this impactful design and UX course,"Embark on an illuminating journey through ""Visual Design & Branding"" within the dynamic realm of Design and User Experience (UX). This course, nestled in the ""Design, UX"" topic group, harmonizes the Product and Customer skill groups. Participants will delve into the intricacies of Product Discovery while gaining insights into Product Marketing. Through practical exercises and immersive projects, learners will uncover the principles of visual design and branding, aiming to create memorable and impactful brand identities. By mastering these skills, participants will be equipped to craft visually compelling designs that resonate with target audiences, drive brand recognition, and enhance user engagement, ultimately fostering brand loyalty and market success."
Digital Marketing,Marketing,Customer,Voice of Customer Product Marketing,1,4,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=370-12938&t=aENtCOSbBGKwDMTu-4,Master digital marketing. Cultivate voice of customer and product marketing skills in this essential course,"""Digital Marketing"" delves into modern marketing strategies tailored for the digital landscape. Under the broad umbrella of marketing, this course focuses on leveraging digital platforms to reach and engage with target audiences effectively. Participants will explore key topics such as SEO, social media marketing, email campaigns, and content creation. Emphasizing customer-centric approaches, students will master skills like understanding the 'Voice of Customer' to tailor campaigns and effective 'Product Marketing' strategies. By the end, learners will possess the tools to craft compelling digital marketing campaigns that resonate with customers and drive business growth."
Go-to-Market Strategy,Marketing,Product Customer,Strategic Impact Product Marketing,3,5,KcYxc4r2dUhd3fRXMWNreLvh7U52,2024-01-28,https://www.figma.com/file/SABujfIEwzpa1NuWiVS3RR/The-Product-Map-3.1?type=whiteboard&node-id=370-12951&t=aENtCOSbBGKwDMTu-4,Craft go-to-market plans. Develop strategic impact and product marketing skills in this essential marketing strategy course,"""Go-to-Market Strategy"" offers a comprehensive exploration of launching products successfully into the market. Positioned within the realm of marketing, this course provides insights into developing strategic plans to maximize product impact. Focusing on both product and customer aspects, participants will delve into topics such as market research, competitive analysis, and distribution channels. Key skills honed include understanding the 'Strategic Impact' of various market approaches and mastering effective 'Product Marketing' techniques. By the course's conclusion, learners will be equipped to craft robust go-to-market strategies that align with organizational goals, ensuring product success and market penetration."
